feature,importance
zone,24.532828554513717
veh_type_grouped,15.80856272437072
event_cause,15.647049671484456
day_of_week,15.034441001073732
month,11.779560051015363
hour_of_day,9.386560758757861
is_peak_hour,2.6415726318374744
requires_road_closure,2.3123156124335806
event_type_grouped,1.536617433278401
is_weekend,1.3204915612347325
